relative_path,filename,extension,size_mb,folder_depth,parent_folder,suspected_placeholder
DevOps/Docker/Mastering_Docker_Enhance_your_containerization_and_DevOps_skills 2020.pdf,Mastering_Docker_Enhance_your_containerization_and_DevOps_skills 2020.pdf,.pdf,24.38,2,Docker,no
DevOps/Docker/Practical Linux DevOps.pdf,Practical Linux DevOps.pdf,.pdf,5.43,2,Docker,no
DevOps/Docker/What Is Portainer.pdf,What Is Portainer.pdf,.pdf,2.24,2,Docker,no
"DevOps/Docker/Иан_Милл,_Эйдан_Хобсон_Сейерс_Docker_на_практике 2020.pdf","Иан_Милл,_Эйдан_Хобсон_Сейерс_Docker_на_практике 2020.pdf",.pdf,8.33,2,Docker,no
DevOps/Docker/Программирование Cloud Native.pdf,Программирование Cloud Native.pdf,.pdf,1.09,2,Docker,no
DevOps/Docker/Эммануил_Гадзурас_Docker_Compose_для_разработчика.pdf,Эммануил_Гадзурас_Docker_Compose_для_разработчика.pdf,.pdf,10.0,2,Docker,no
DevOps/Git/Advanced Git (2nd Edition) [2021] Jawwad Ahmad & Chris Belanger.epub,Advanced Git (2nd Edition) [2021] Jawwad Ahmad & Chris Belanger.epub,.epub,7.48,2,Git,no
DevOps/Git/Advanced Git (2nd Edition) [2021] Jawwad Ahmad & Chris Belanger.pdf,Advanced Git (2nd Edition) [2021] Jawwad Ahmad & Chris Belanger.pdf,.pdf,8.42,2,Git,no
DevOps/Git/Beginning.Git.and.GitHub.pdf,Beginning.Git.and.GitHub.pdf,.pdf,14.52,2,Git,no
"DevOps/Git/Garner,_Jameson_GIT_The_Ultimate_Guide_for_Beginners_Learn_Git_Version.epub","Garner,_Jameson_GIT_The_Ultimate_Guide_for_Beginners_Learn_Git_Version.epub",.epub,8.66,2,Git,no
DevOps/Git/Git Pocket Guide by Richard E. Silverman.pdf,Git Pocket Guide by Richard E. Silverman.pdf,.pdf,6.91,2,Git,no
DevOps/Git/Git для профессионального программиста.pdf,Git для профессионального программиста.pdf,.pdf,42.42,2,Git,no
DevOps/Git/Git. Практическое руководство 2021.pdf,Git. Практическое руководство 2021.pdf,.pdf,68.55,2,Git,no
DevOps/Git/GitHub_for_Dummies_2019.pdf,GitHub_for_Dummies_2019.pdf,.pdf,50.69,2,Git,no
DevOps/Git/Git__контроль_версий.epub,Git__контроль_версий.epub,.epub,12.0,2,Git,no
DevOps/Git/Git__контроль_версий.pdf,Git__контроль_версий.pdf,.pdf,10.06,2,Git,no
DevOps/Git/Head First Git (Final Release) 2022.pdf,Head First Git (Final Release) 2022.pdf,.pdf,45.96,2,Git,no
DevOps/Git/Head First Git.epub,Head First Git.epub,.epub,51.89,2,Git,no
DevOps/Git/Head First. Git. Лучший способ понять Git изнутри.pdf,Head First. Git. Лучший способ понять Git изнутри.pdf,.pdf,127.79,2,Git,no
DevOps/Git/Pro Git 2021.pdf,Pro Git 2021.pdf,.pdf,13.91,2,Git,no
DevOps/Git/Изучаем Git.pdf,Изучаем Git.pdf,.pdf,28.91,2,Git,no
DevOps/Git/практическое и наглядное руководство по основам Git.pdf,практическое и наглядное руководство по основам Git.pdf,.pdf,10.63,2,Git,no
DevOps/Git/Про Git.pdf,Про Git.pdf,.pdf,12.03,2,Git,no
DevOps/Git/Профессиональная работа с Git.pdf,Профессиональная работа с Git.pdf,.pdf,5.24,2,Git,no
DevOps/Jenkins/Jenkins2_DevOps-Приступаем_к_работе_2019.pdf,Jenkins2_DevOps-Приступаем_к_работе_2019.pdf,.pdf,44.35,2,Jenkins,no
DevOps/Kubernetes/Argo CD. Быстрый старт.pdf,Argo CD. Быстрый старт.pdf,.pdf,7.07,2,Kubernetes,no
DevOps/Kubernetes/Continuous Delivery for Kubernetes 2022.pdf,Continuous Delivery for Kubernetes 2022.pdf,.pdf,12.09,2,Kubernetes,no
DevOps/Kubernetes/Core Kubernetes 2022.pdf,Core Kubernetes 2022.pdf,.pdf,5.01,2,Kubernetes,no
"DevOps/Kubernetes/Istio_приступаем_к_работе_2020_Ли_Калькот,_Зак_Бутчер.pdf","Istio_приступаем_к_работе_2020_Ли_Калькот,_Зак_Бутчер.pdf",.pdf,4.39,2,Kubernetes,no
DevOps/Kubernetes/Kubernetes for Developers 2022.pdf,Kubernetes for Developers 2022.pdf,.pdf,7.59,2,Kubernetes,no
"DevOps/Kubernetes/Kubernetes in Action, Second Edition MEAP V14.pdf","Kubernetes in Action, Second Edition MEAP V14.pdf",.pdf,13.7,2,Kubernetes,no
DevOps/Kubernetes/Kubernetes in Action_2Ed_Final.pdf,Kubernetes in Action_2Ed_Final.pdf,.pdf,13.17,2,Kubernetes,no
DevOps/Kubernetes/Kubernetes в действии.pdf,Kubernetes в действии.pdf,.pdf,9.28,2,Kubernetes,no
DevOps/Kubernetes/Kubernetes для DevOps (2020).pdf,Kubernetes для DevOps (2020).pdf,.pdf,7.49,2,Kubernetes,no
DevOps/Kubernetes/Kubernetes для разработчиков.pdf,Kubernetes для разработчиков.pdf,.pdf,9.33,2,Kubernetes,no
DevOps/Kubernetes/Kubernetes изнутри.pdf,Kubernetes изнутри.pdf,.pdf,11.8,2,Kubernetes,no
DevOps/Kubernetes/Kubernetes.Up.and.Running.3rd.Edition.epub,Kubernetes.Up.and.Running.3rd.Edition.epub,.epub,2.63,2,Kubernetes,no
DevOps/Kubernetes/Kubernetes_изнутри_2023_Джей_Вьяс_Крис_Лав.pdf,Kubernetes_изнутри_2023_Джей_Вьяс_Крис_Лав.pdf,.pdf,11.8,2,Kubernetes,no
DevOps/Kubernetes/NGINX Cookbook 2nd Edition.pdf,NGINX Cookbook 2nd Edition.pdf,.pdf,11.96,2,Kubernetes,no
DevOps/Kubernetes/The_Book_of_Kubernetes_A_Complete_Guide_to_Container_Orchestra.pdf,The_Book_of_Kubernetes_A_Complete_Guide_to_Container_Orchestra.pdf,.pdf,5.94,2,Kubernetes,no
DevOps/Kubernetes/Бернс Kubernetes_Лучшие Практики.pdf,Бернс Kubernetes_Лучшие Практики.pdf,.pdf,4.48,2,Kubernetes,no
DevOps/Kubernetes/Осваиваем Kubernetes.pdf,Осваиваем Kubernetes.pdf,.pdf,9.31,2,Kubernetes,no
DevOps/Kubernetes/Паттерны Kubernetes Шаблоны разработки облачных приложений. 2-е изд.pdf,Паттерны Kubernetes Шаблоны разработки облачных приложений. 2-е изд.pdf,.pdf,5.54,2,Kubernetes,no
"DevOps/Kubernetes/Программирование_Cloud_Native_Микросервисы,_Docker_и_Kubernetes.pdf","Программирование_Cloud_Native_Микросервисы,_Docker_и_Kubernetes.pdf",.pdf,1.09,2,Kubernetes,no
DevOps/Мониторинг/Zabbix_Практическое_руководство.pdf,Zabbix_Практическое_руководство.pdf,.pdf,10.64,2,Мониторинг,no
DevOps/Мониторинг/Запускаем Prometheus.pdf,Запускаем Prometheus.pdf,.pdf,14.9,2,Мониторинг,no
DevOps/Общие вопросы/DevOps for Software Engineers.pdf,DevOps for Software Engineers.pdf,.pdf,1.99,2,Общие вопросы,no
DevOps/Общие вопросы/DevOps для совр предпр 2020.pdf,DevOps для совр предпр 2020.pdf,.pdf,3.46,2,Общие вопросы,no
DevOps/Общие вопросы/DevOps_for_the_Desperate_A_Hands_On_Survival_Guide_Bradley_Smith.pdf,DevOps_for_the_Desperate_A_Hands_On_Survival_Guide_Bradley_Smith.pdf,.pdf,3.69,2,Общие вопросы,no
DevOps/Общие вопросы/Filosofia_DevOps.pdf,Filosofia_DevOps.pdf,.pdf,6.48,2,Общие вопросы,no
Алгоритмы/ГИС/Алгоритмы ГИС-реализация на Python.pdf,Алгоритмы ГИС-реализация на Python.pdf,.pdf,3.45,2,ГИС,no
Алгоритмы/ГИС/Алгоритмы ГИС.pdf,Алгоритмы ГИС.pdf,.pdf,4.48,2,ГИС,no
Алгоритмы/Графы и Топология/Графовые алгоритмы.pdf,Графовые алгоритмы.pdf,.pdf,19.55,2,Графы и Топология,no
Алгоритмы/Графы и Топология/ГРАФЫ. АЛГОРИТМЫ НА ЯЗЫКЕ С 2017.pdf,ГРАФЫ. АЛГОРИТМЫ НА ЯЗЫКЕ С 2017.pdf,.pdf,17.13,2,Графы и Топология,no
Алгоритмы/Графы и Топология/Рафгарден Совершенный алгоритм - графы.pdf,Рафгарден Совершенный алгоритм - графы.pdf,.pdf,25.12,2,Графы и Топология,no
Алгоритмы/Обработка текста/125_Problems_in_Text_Algorithms_with_Solutions_by_Maxime_Crochemore.pdf,125_Problems_in_Text_Algorithms_with_Solutions_by_Maxime_Crochemore.pdf,.pdf,9.62,2,Обработка текста,no
Алгоритмы/Обработка текста/Алгоритмы_обработки_текста_125_задач_с_решениями 2021.pdf,Алгоритмы_обработки_текста_125_задач_с_решениями 2021.pdf,.pdf,12.9,2,Обработка текста,no
Алгоритмы/Обработка текста/Алгоритмы_сжатия_данных_без_потерь.pdf,Алгоритмы_сжатия_данных_без_потерь.pdf,.pdf,2.14,2,Обработка текста,no
"Алгоритмы/Обработка текста/Алгоритмы_сжатия_данных_без_потерь_2021_Пантелеев,_Алыкова.pdf","Алгоритмы_сжатия_данных_без_потерь_2021_Пантелеев,_Алыкова.pdf",.pdf,1.19,2,Обработка текста,no
"Алгоритмы/Обработка текста/Крошемор_М_,_Лекрок_Т_,_Риттер_В_Алгоритмы_обработки текста_125.pdf","Крошемор_М_,_Лекрок_Т_,_Риттер_В_Алгоритмы_обработки текста_125.pdf",.pdf,12.9,2,Обработка текста,no
Алгоритмы/Общие вопросы/!! Алгоритмы_Руководство_по_разработке_3_изд_2022_Стивен_Скиена.pdf,!! Алгоритмы_Руководство_по_разработке_3_изд_2022_Стивен_Скиена.pdf,.pdf,106.35,2,Общие вопросы,no
Алгоритмы/Общие вопросы/40 алгоритмов на Python.pdf,40 алгоритмов на Python.pdf,.pdf,12.34,2,Общие вопросы,no
Алгоритмы/Общие вопросы/Algorithmic_Thinking_A_Problem_Based_Introduction.pdf,Algorithmic_Thinking_A_Problem_Based_Introduction.pdf,.pdf,3.31,2,Общие вопросы,no
"Алгоритмы/Общие вопросы/Algorithms For Dummies, 2nd Edition 2022.pdf","Algorithms For Dummies, 2nd Edition 2022.pdf",.pdf,11.09,2,Общие вопросы,no
"Алгоритмы/Общие вопросы/Algorithms_for_Decision_Making_Mykel_J_Kochenderfer,_Tim_A_Wheeler.pdf","Algorithms_for_Decision_Making_Mykel_J_Kochenderfer,_Tim_A_Wheeler.pdf",.pdf,7.64,2,Общие вопросы,no
Алгоритмы/Общие вопросы/Daniel_Zingaro_Algorithmic_Thinking_A_Problem_Based_Introduction.pdf,Daniel_Zingaro_Algorithmic_Thinking_A_Problem_Based_Introduction.pdf,.pdf,3.33,2,Общие вопросы,no
